Time	Node	UserId	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
3.717	154	0	0	1	2319463	0	3616	
3.723	118	0	0	1	2787096	0	3614	
3.724	195	0	0	1	2560000	0	3616	
3.807	63	0	0	1	2063283	0	3705	
3.807	113	0	0	1	1763265	0	3705	
3.807	119	0	0	1	1868108	0	3705	
3.808	92	0	0	1	2126769	0	3705	
3.809	137	0	0	1	1969230	0	3705	
3.81	71	0	0	1	2201274	0	3705	
3.815	85	0	0	1	1904132	0	3705	
3.828	98	0	0	1	1868108	0	3726	
3.908	103	0	0	1	1489655	0	3805	
3.908	134	0	0	1	1522467	0	3805	
3.909	181	0	0	1	1519120	0	3805	
3.91	197	0	0	1	1649642	0	3805	
3.91	186	0	0	1	1649642	0	3805	
3.91	129	0	0	1	1522467	0	3805	
3.91	183	0	0	1	1519120	0	3805	
3.91	187	0	0	1	1522467	0	3805	
3.913	95	0	0	1	1522467	0	3805	
3.913	148	0	0	1	1522467	0	3805	
3.913	131	0	0	1	1492872	0	3805	
3.913	79	0	0	1	1522467	0	3805	
3.913	81	0	0	1	1428099	0	3805	
3.914	59	0	0	1	1570909	0	3805	
3.915	191	0	0	1	1522467	0	3805	
3.915	57	0	0	1	1413496	0	3805	
3.915	70	0	0	1	1519120	0	3806	
3.92	112	0	0	1	1428099	0	3819	
3.921	69	0	0	1	1476923	0	3813	
3.921	65	0	0	1	1413496	0	3819	
3.922	171	0	0	1	1413496	0	3812	
3.922	165	0	0	1	1413496	0	3812	
4.006	58	0	0	1	1331791	0	3905	
4.006	189	0	0	1	1319084	0	3905	
4.006	198	0	0	1	1234285	0	3905	
4.006	124	0	0	1	1319084	0	3905	
4.006	151	0	0	1	1319084	0	3905	
4.006	147	0	0	1	1296810	0	3905	
4.007	155	0	0	1	1319084	0	3905	
4.007	159	0	0	1	1319084	0	3905	
4.007	74	0	0	1	1268256	0	3905	
4.007	194	0	0	1	1319084	0	3905	
4.008	68	0	0	1	1352641	0	3905	
4.008	196	0	0	1	1319084	0	3905	
4.008	126	0	0	1	1280000	0	3905	
4.009	178	0	0	1	1319084	0	3905	
4.009	168	0	0	1	1319084	0	3905	
4.009	67	0	0	1	1163636	0	3905	
4.01	164	0	0	1	1316571	0	3905	
4.011	84	0	0	1	1163636	0	3905	
4.011	153	0	0	1	1161680	0	3905	
4.011	93	0	0	1	1163636	0	3905	
4.012	135	0	0	1	1163636	0	3905	
4.012	144	0	0	1	1163636	0	3905	
4.012	179	0	0	1	1368712	0	3905	
4.012	123	0	0	1	1163636	0	3905	
4.014	145	0	0	1	1284758	0	3912	
4.015	105	0	0	1	1319084	0	3905	
4.015	96	0	0	1	1159731	0	3905	
4.015	177	0	0	1	1319084	0	3905	
4.015	106	0	0	1	1161680	0	3907	
4.015	175	0	0	1	1319084	0	3905	
4.016	130	0	0	1	1163636	0	3906	
4.018	72	0	0	1	1163636	0	3912	
4.027	152	0	0	1	1221201	0	3926	
4.028	182	0	0	1	1191724	0	3926	
4.028	99	0	0	1	1177512	0	3926	
4.029	120	0	0	1	1206282	0	3926	
4.034	174	0	0	1	1163636	0	3926	
4.035	133	0	0	1	1316571	0	3926	
4.035	117	0	0	1	1336943	0	3926	
4.035	114	0	0	1	1191724	0	3927	
4.035	75	0	0	1	1163636	0	3926	
4.036	139	0	0	1	1268256	0	3926	
4.108	78	0	0	1	1013489	0	4005	
4.109	60	0	0	1	1148172	0	4005	
4.109	73	0	0	1	1063384	0	4005	
4.11	193	0	0	1	1040963	0	4005	
4.111	100	0	0	1	1136842	0	4005	
4.111	184	0	0	1	1146268	0	4006	
4.112	101	0	0	1	993103	0	4005	
4.113	125	0	0	1	1150083	0	4012	
4.113	82	0	0	1	1111254	0	4005	
4.115	188	0	0	1	1146268	0	4006	
4.115	87	0	0	1	1129411	0	4007	
4.116	170	0	0	1	1150083	0	4012	
4.116	176	0	0	1	1123902	0	4008	
4.117	141	0	0	1	1007580	0	4012	
4.118	97	0	0	1	1009051	0	4012	
4.118	143	0	0	1	1120259	0	4013	
4.119	64	0	0	1	1111254	0	4013	
4.119	115	0	0	1	1150083	0	4012	
4.119	132	0	0	1	1076635	0	4013	
4.12	121	0	0	1	1116639	0	4014	
4.12	122	0	0	1	1150083	0	4012	
4.12	158	0	0	1	1073291	0	4012	
4.122	66	0	0	1	1052054	0	4012	
4.125	150	0	0	1	1009051	0	4019	
4.129	146	0	0	1	1120259	0	4020	
4.129	142	0	0	1	997402	0	4021	
4.131	83	0	0	1	1123902	0	4022	
4.132	116	0	0	1	1009051	0	4026	
4.135	180	0	0	1	1073291	0	4026	
4.141	89	0	0	1	1086792	0	4033	
4.207	90	0	0	1	930282	0	4105	
4.214	110	0	0	1	941689	0	4105	
4.223	94	0	0	1	986020	0	4121	
4.23	109	0	0	1	966713	0	4122	
4.234	172	0	0	1	986020	0	4127	
4.235	107	0	0	1	976271	0	4126	
4.708	138	0	0	1	555627	0	4605	
4.727	163	0	0	1	555180	0	4626	
4.808	88	0	0	1	523239	0	4705	
4.808	127	0	0	1	526027	0	4705	
4.815	80	0	0	1	507116	0	4712	
4.828	76	0	0	1	504525	0	4726	
4.828	102	0	0	1	509734	0	4726	
4.909	149	0	0	1	470844	0	4805	
4.927	157	0	0	1	475378	0	4826	
4.927	162	0	0	1	461723	0	4826	
5.027	104	0	0	1	451469	0	4926	
5.109	77	0	0	1	424309	0	5006	
18.717	154	0	1	14	3060632	0	0	
18.723	118	0	1	14	5235938	15	0	
18.724	195	0	1	14	4136180	0	0	
18.807	113	0	1	12	1079476	0	0	
18.807	119	0	1	13	1253877	0	0	
18.808	92	0	1	13	1253195	0	0	
18.809	137	0	1	13	1254048	0	0	
18.815	85	0	1	13	1247343	0	0	
18.828	98	0	1	13	1248019	0	0	
18.908	103	0	1	11	1251688	0	0	
18.908	134	0	1	12	1252160	0	0	
18.909	181	0	1	12	1252888	0	0	
18.91	197	0	1	12	1260215	0	0	
18.91	186	0	1	12	1260215	0	0	
18.91	129	0	1	12	1252888	0	0	
18.91	183	0	1	12	1234835	0	0	
18.91	187	0	1	12	1252888	0	0	
18.913	95	0	1	12	1252888	0	0	
18.913	148	0	1	12	1252888	0	0	
18.913	131	0	1	11	1251688	0	0	
18.913	79	0	1	12	1252472	0	0	
18.913	81	0	1	11	1251688	0	0	
18.914	59	0	1	12	1252888	0	0	
18.915	191	0	1	12	1252888	0	0	
18.915	57	0	1	11	1256074	0	0	
18.915	70	0	1	12	1252888	0	0	
18.92	112	0	1	11	1169389	0	0	
18.921	69	0	1	11	1099795	0	0	
18.921	65	0	1	11	1251688	0	0	
18.922	171	0	1	11	1248912	0	0	
18.922	165	0	1	11	1251688	0	0	
19.006	58	0	1	11	1062546	0	0	
