Time	Node	UserId	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
3.809	1168	0	0	1	1823746	0	3705	
3.812	1386	0	0	1	1741057	0	3705	
3.816	808	0	0	1	1781443	0	3713	
3.827	1314	0	0	1	1974857	0	3726	
3.828	125	0	0	1	1800000	0	3726	
3.832	499	0	0	1	1878260	0	3728	
3.833	351	0	0	1	2081927	0	3726	
3.835	1082	0	0	1	1818947	0	3730	
3.835	1422	0	0	1	1790673	0	3730	
3.839	859	0	0	1	1795324	0	3732	
3.839	1031	0	0	1	1914681	0	3735	
3.84	1190	0	0	1	1776863	0	3734	
3.841	1104	0	0	1	1736683	0	3737	
3.906	742	0	0	1	1437006	0	3805	
3.906	1302	0	0	1	1422222	0	3805	
3.906	1338	0	0	1	1546308	0	3805	
3.906	181	0	0	1	1419301	0	3805	
3.906	310	0	0	1	1553258	0	3805	
3.906	1019	0	0	1	1574487	0	3805	
3.906	857	0	0	1	1512472	0	3805	
3.906	1199	0	0	1	1396363	0	3805	
3.906	270	0	0	1	1399190	0	3805	
3.906	93	0	0	1	1387951	0	3805	
3.907	354	0	0	1	1509170	0	3805	
3.907	1276	0	0	1	1653588	0	3805	
3.907	289	0	0	1	1592626	0	3806	
3.907	784	0	0	1	1387951	0	3805	
3.908	144	0	0	1	1467515	0	3805	
3.908	459	0	0	1	1458227	0	3805	
3.908	1207	0	0	1	1637914	0	3805	
3.908	432	0	0	1	1476923	0	3805	
3.908	1436	0	0	1	1416393	0	3805	
3.909	358	0	0	1	1618735	0	3805	
3.909	159	0	0	1	1446025	0	3805	
3.909	958	0	0	1	1399190	0	3805	
3.909	1384	0	0	1	1499349	0	3805	
3.91	105	0	0	1	1428099	0	3805	
3.91	932	0	0	1	1470638	0	3805	
3.91	177	0	0	1	1715136	0	3805	
3.91	1178	0	0	1	1560270	0	3805	
3.911	334	0	0	1	1431055	0	3805	
3.911	1013	0	0	1	1425154	0	3805	
3.911	950	0	0	1	1416393	0	3805	
3.911	261	0	0	1	1443006	0	3805	
3.912	529	0	0	1	1519120	0	3805	
3.912	1048	0	0	1	1546308	0	3806	
3.913	666	0	0	1	1428099	0	3812	
3.913	363	0	0	1	1532594	0	3805	
3.913	1051	0	0	1	1529203	0	3805	
3.913	466	0	0	1	1416393	0	3812	
3.913	259	0	0	1	1437006	0	3812	
3.914	616	0	0	1	1393548	0	3812	
3.914	577	0	0	1	1449056	0	3812	
3.914	82	0	0	1	1440000	0	3812	
3.914	534	0	0	1	1404878	0	3805	
3.915	873	0	0	1	1387951	0	3812	
3.915	1281	0	0	1	1419301	0	3806	
3.916	946	0	0	1	1542857	0	3812	
3.916	1439	0	0	1	1449056	0	3806	
3.916	940	0	0	1	1467515	0	3808	
3.916	321	0	0	1	1399190	0	3806	
3.917	1282	0	0	1	1416393	0	3807	
3.917	1324	0	0	1	1519120	0	3809	
3.918	479	0	0	1	1630188	0	3812	
3.919	151	0	0	1	1419301	0	3810	
3.92	1236	0	0	1	1592626	0	3819	
3.92	1235	0	0	1	1410612	0	3812	
3.924	912	0	0	1	1449056	0	3814	
3.926	748	0	0	1	1404878	0	3817	
3.927	698	0	0	1	1706666	0	3826	
3.928	554	0	0	1	1522467	0	3826	
3.929	1274	0	0	1	1452100	0	3819	
3.929	331	0	0	1	1393548	0	3826	
3.929	202	0	0	1	1387951	0	3821	
3.929	201	0	0	1	1402028	0	3826	
3.929	210	0	0	1	1645714	0	3826	
3.929	646	0	0	1	1549775	0	3819	
3.929	749	0	0	1	1410612	0	3826	
3.93	497	0	0	1	1539420	0	3827	
3.93	397	0	0	1	1443006	0	3826	
3.931	772	0	0	1	1607441	0	3827	
3.931	178	0	0	1	1496103	0	3827	
3.931	464	0	0	1	1603712	0	3824	
3.931	290	0	0	1	1449056	0	3822	
3.932	1197	0	0	1	1446025	0	3822	
3.932	318	0	0	1	1393548	0	3827	
3.932	1014	0	0	1	1546308	0	3823	
3.932	422	0	0	1	1499349	0	3822	
3.932	148	0	0	1	1489655	0	3827	
3.932	773	0	0	1	1560270	0	3827	
3.932	1192	0	0	1	1473774	0	3827	
3.932	1032	0	0	1	1512472	0	3827	
3.933	217	0	0	1	1549775	0	3823	
3.933	135	0	0	1	1622535	0	3827	
3.933	1062	0	0	1	1387951	0	3824	
