ClientNode,ServerNode,StartsAt,StopsAt,VideoId,LinkCapacity,ScreenWidth,ScreenHeight
57,1485,2,10,0,3337,800,480
58,1485,2,10,0,3337,800,480
59,1485,2,10,0,3337,800,480
60,1485,2,10,0,3337,800,480
61,1485,2,10,0,3337,800,480
62,1485,2,10,0,3337,800,480
63,1485,2,10,0,3337,800,480
64,1485,2,10,0,3337,800,480
65,1485,2,10,0,3337,800,480
66,1485,2,10,0,3337,800,480
67,1485,2,10,0,3337,800,480
68,1485,2,10,0,3337,800,480
69,1485,2,10,0,3337,800,480
70,1485,2,10,0,3337,800,480
71,1485,2,10,0,3337,800,480
72,1485,2,10,0,3337,800,480
73,1485,2,10,0,3337,800,480
74,1485,2,10,0,3337,800,480
75,1485,2,10,0,3337,800,480
76,1485,2,10,0,3337,800,480
77,1485,2,10,0,3337,800,480
78,1485,2,10,0,3337,800,480
79,1485,2,10,0,3337,800,480
80,1485,2,10,0,3337,800,480
81,1485,2,10,0,3337,800,480
82,1485,2,10,0,3337,800,480
83,1485,2,10,0,3337,800,480
84,1485,2,10,0,3337,800,480
85,1485,2,10,0,3337,800,480
86,1485,2,10,0,3337,800,480
87,1485,2,10,0,3337,800,480
88,1485,2,10,0,3337,800,480
89,1485,2,10,0,3337,800,480
90,1485,2,10,0,3337,800,480
91,1485,2,10,0,3337,800,480
92,1485,2,10,0,3337,800,480
93,1485,2,10,0,3337,800,480
94,1485,2,10,0,3337,800,480
95,1485,2,10,0,3337,800,480
96,1485,2,10,0,3337,800,480
97,1485,2,10,0,3337,800,480
98,1485,2,10,0,3337,800,480
99,1485,2,10,0,3337,800,480
100,1485,2,10,0,3337,800,480
101,1485,2,10,0,3337,800,480
102,1485,2,10,0,3337,800,480
103,1485,2,10,0,3337,800,480
104,1485,2,10,0,3337,800,480
105,1485,2,10,0,3337,800,480
106,1485,2,10,0,3337,800,480
107,1485,2,10,0,3337,800,480
108,1485,2,10,0,3337,800,480
109,1485,2,10,0,3337,800,480
110,1485,2,10,0,3337,800,480
111,1485,2,10,0,3337,800,480
112,1485,2,10,0,3337,800,480
113,1485,2,10,0,3337,800,480
114,1485,2,10,0,3337,800,480
115,1485,2,10,0,3337,800,480
116,1485,2,10,0,3337,800,480
117,1485,2,10,0,3337,800,480
118,1485,2,10,0,3337,800,480
119,1485,2,10,0,3337,800,480
120,1485,2,10,0,3337,800,480
121,1485,2,10,0,3337,800,480
122,1485,2,10,0,3337,800,480
123,1485,2,10,0,3337,800,480
124,1485,2,10,0,3337,800,480
125,1485,2,10,0,3337,800,480
126,1485,2,10,0,3337,800,480
127,1485,2,10,0,3337,800,480
128,1485,2,10,0,3337,800,480
129,1485,2,10,0,3337,800,480
130,1485,2,10,0,3337,800,480
131,1485,2,10,0,3337,800,480
132,1485,2,10,0,3337,800,480
