Node,StartUpDelay,AvgDownloadRate,StdDownloadRate,AvgBufferLevel,StdBufferLevel,StallEvents,RebufferingRatio,StallLabel,TotalStallingTime,AvgTimeStallingEvents,AvgVideoBitRate,AvgVideoQualityVariation,RSDVideoBitRate,AvgDownloadBitRate,Tinit,Frebuf,Trebuf,MOS
57,4510,813476,690809,3,1.73205,0,0,NoStalling,0,0,236.5,594,133.736,813476,2,1,1,3.2476
58,4557,746980,658085,3,1.73205,0,0,NoStalling,0,0,173.25,439,134.26,746980,2,1,1,3.2476
59,4676,425268,293427,1.5,0.866025,0,0,NoStalling,0,0,173.25,439,134.26,425268,2,1,1,3.2476
60,4554,606186,447979,3,1.73205,0,0,NoStalling,0,0,185.5,390,124.6,606186,2,1,1,3.2476
61,0,0,0,0,0,0,0,NoStalling,0,0,0,0,0,0,3,1,1,3.1804
62,0,0,0,0,0,0,0,NoStalling,0,0,0,0,0,0,3,1,1,3.1804
63,4668,496410,344282,2.5,1.65831,0,0,NoStalling,0,0,185.5,390,124.6,496410,2,1,1,3.2476
64,4701,320381,176465,2.5,1.65831,0,0,NoStalling,0,0,123.25,239,121.245,320381,2,1,1,3.2476
65,4674,429332,285254,1.5,0.866025,0,0,NoStalling,0,0,157,374,130.742,429332,2,1,1,3.2476
66,0,0,0,0,0,0,0,NoStalling,0,0,0,0,0,0,3,1,1,3.1804
67,4552,852984,817784,3,1.73205,0,0,NoStalling,0,0,173.25,439,134.26,852984,2,1,1,3.2476
68,4552,662406,538550,3.5,2.17945,0,0,NoStalling,0,0,173.25,439,134.26,662406,2,1,1,3.2476
69,4723,349238,200996,2.5,1.65831,0,0,NoStalling,0,0,123.25,239,121.245,349238,2,1,1,3.2476
70,4677,481256,333588,2.5,1.65831,0,0,NoStalling,0,0,173.25,439,134.26,481256,2,1,1,3.2476
71,4672,396761,254053,1.5,0.866025,0,0,NoStalling,0,0,157,374,130.742,396761,2,1,1,3.2476
72,4698,494074,341093,3,1.73205,0,0,NoStalling,0,0,157,374,130.742,494074,2,1,1,3.2476
73,4696,303314,158760,1.5,0.866025,0,0,NoStalling,0,0,123.25,239,121.245,303314,2,1,1,3.2476
74,4667,331408,257916,2,1.41421,0,0,NoStalling,0,0,85.75,89,106.52,331408,2,1,1,3.2476
75,4737,382830,244528,3,1.73205,0,0,NoStalling,0,0,123.25,239,121.245,382830,2,1,1,3.2476
76,4554,720863,624796,3,1.73205,0,0,NoStalling,0,0,173.25,439,134.26,720863,2,1,1,3.2476
77,4532,776314,662464,3,1.73205,0,0,NoStalling,0,0,185.5,390,124.6,776314,2,1,1,3.2476
78,4720,406483,255896,3,1.73205,0,0,NoStalling,0,0,123.25,239,121.245,406483,2,1,1,3.2476
79,4672,665803,553797,3,1.73205,0,0,NoStalling,0,0,173.25,439,134.26,665803,2,1,1,3.2476
80,4542,744300,628905,3,1.73205,0,0,NoStalling,0,0,185.5,390,124.6,744300,2,1,1,3.2476
81,4520,704468,601470,3,1.73205,0,0,NoStalling,0,0,173.25,439,134.26,704468,2,1,1,3.2476
82,4524,702728,560373,3,1.73205,0,0,NoStalling,0,0,185.5,390,124.6,702728,2,1,1,3.2476
83,4759,304546,161698,1.5,0.866025,0,0,NoStalling,0,0,123.25,239,121.245,304546,2,1,1,3.2476
84,4554,556271,402269,3,1.73205,0,0,NoStalling,0,0,173.25,439,134.26,556271,2,1,1,3.2476
85,4573,585748,440265,3,1.73205,0,0,NoStalling,0,0,173.25,439,134.26,585748,2,1,1,3.2476
86,0,0,0,0,0,0,0,NoStalling,0,0,0,0,0,0,3,1,1,3.1804
87,4752,354768,214374,2.5,1.65831,0,0,NoStalling,0,0,123.25,239,121.245,354768,2,1,1,3.2476
88,4530,625060,470010,3,1.73205,0,0,NoStalling,0,0,185.5,390,124.6,625060,2,1,1,3.2476
89,0,0,0,0,0,0,0,NoStalling,0,0,0,0,0,0,3,1,1,3.1804
90,4678,591729,459985,3,1.73205,0,0,NoStalling,0,0,173.25,439,134.26,591729,2,1,1,3.2476
91,4555,442079,292732,2.5,1.65831,0,0,NoStalling,0,0,157,374,130.742,442079,2,1,1,3.2476
92,4701,396855,250096,3,1.73205,0,0,NoStalling,0,0,123.25,239,121.245,396855,2,1,1,3.2476
93,4519,875443,778643,3,1.73205,0,0,NoStalling,0,0,236.5,594,133.736,875443,2,1,1,3.2476
94,0,0,0,0,0,0,0,NoStalling,0,0,0,0,0,0,3,1,1,3.1804
95,4511,942158,878576,3,1.73205,0,0,NoStalling,0,0,236.5,594,133.736,942158,2,1,1,3.2476
96,4663,566832,416295,3,1.73205,0,0,NoStalling,0,0,173.25,439,134.26,566832,2,1,1,3.2476
97,3554,1.59669e+06,426380,1,1,0,0,NoStalling,0,0,788,315,64.5042,1.59669e+06,2,1,1,3.2476
98,3540,1.1212e+06,139928,0,0,0,0,NoStalling,0,0,683.5,106,59.1073,1.1212e+06,2,1,1,3.2476
99,4730,410789,262818,3,1.73205,0,0,NoStalling,0,0,123.25,239,121.245,410789,2,1,1,3.2476
100,4573,519594,371653,3,1.73205,0,0,NoStalling,0,0,173.25,439,134.26,519594,2,1,1,3.2476
101,4568,624576,490780,3,1.73205,0,0,NoStalling,0,0,173.25,439,134.26,624576,2,1,1,3.2476
102,4673,446088,301058,2.5,1.65831,0,0,NoStalling,0,0,173.25,439,134.26,446088,2,1,1,3.2476
103,4554,741255,628239,3,1.73205,0,0,NoStalling,0,0,185.5,390,124.6,741255,2,1,1,3.2476
104,4699,434068,286790,2.5,1.65831,0,0,NoStalling,0,0,157,374,130.742,434068,2,1,1,3.2476
105,4515,795923,664297,3,1.73205,0,0,NoStalling,0,0,236.5,594,133.736,795923,2,1,1,3.2476
106,0,0,0,0,0,0,0,NoStalling,0,0,0,0,0,0,3,1,1,3.1804
107,4675,490246,356061,3,1.73205,0,0,NoStalling,0,0,157,374,130.742,490246,2,1,1,3.2476
108,5378,296271,86822.8,1.33333,0.942809,0,0,NoStalling,0,0,114,164,91.9199,296271,3,1,1,3.1804
109,0,0,0,0,0,0,0,NoStalling,0,0,0,0,0,0,3,1,1,3.1804
110,4666,645615,533832,3,1.73205,0,0,NoStalling,0,0,173.25,439,134.26,645615,2,1,1,3.2476
111,4678,607547,476722,2.5,1.65831,0,0,NoStalling,0,0,173.25,439,134.26,607547,2,1,1,3.2476
112,4678,324357,183288,2.5,1.65831,0,0,NoStalling,0,0,123.25,239,121.245,324357,2,1,1,3.2476
113,0,0,0,0,0,0,0,NoStalling,0,0,0,0,0,0,3,1,1,3.1804
114,4540,833864,812629,3,1.73205,0,0,NoStalling,0,0,173.25,439,134.26,833864,2,1,1,3.2476
115,4528,705270,622554,2,1.41421,0,0,NoStalling,0,0,173.25,439,134.26,705270,2,1,1,3.2476
116,4552,585633,442678,3,1.73205,0,0,NoStalling,0,0,173.25,439,134.26,585633,2,1,1,3.2476
117,4553,763173,687502,3,1.73205,0,0,NoStalling,0,0,173.25,439,134.26,763173,2,1,1,3.2476
118,3859,880089,375368,0,0,0,0,NoStalling,0,0,449.333,616,90.1797,880089,2,1,1,3.2476
119,4540,696810,561546,3,1.73205,0,0,NoStalling,0,0,185.5,390,124.6,696810,2,1,1,3.2476
120,4582,518193,369122,3,1.73205,0,0,NoStalling,0,0,173.25,439,134.26,518193,2,1,1,3.2476
121,4889,151888,64652.1,1.33333,0.942809,0,0,NoStalling,0,0,29.6667,0,141.421,151888,2,1,1,3.2476
122,4650,310071,165652,2,1.41421,0,0,NoStalling,0,0,123.25,239,121.245,310071,2,1,1,3.2476
123,4547,588719,437016,3,1.73205,0,0,NoStalling,0,0,173.25,439,134.26,588719,2,1,1,3.2476
124,4515,773065,632850,3,1.73205,0,0,NoStalling,0,0,236.5,594,133.736,773065,2,1,1,3.2476
125,3546,1.47982e+06,318729,1,1,0,0,NoStalling,0,0,687,317,66.5771,1.47982e+06,2,1,1,3.2476
126,4547,848377,751943,3,1.73205,0,0,NoStalling,0,0,236.5,594,133.736,848377,2,1,1,3.2476
