Node,StartUpDelay,StartUpLabel,AvgDownloadRate,StdDownloadRate,AvgBufferLevel,StdBufferLevel,StallEvents,RebufferingRatio,StallLabel,TotalStallingTime,AvgTimeStallingEvents,AvgVideoBitRate,AvgVideoQualityVariation,RSDVideoBitRate,AvgDownloadBitRate
2,5359,LowDelay,2.80452e+06,103971,7.63158,3.23973,0,0,NoStalling,0,0,2302.63,27.7778,17.9472,2.80452e+06
3,5358,LowDelay,2.80207e+06,106524,7.57895,3.15087,0,0,NoStalling,0,0,2302.63,27.7778,17.9472,2.80207e+06
4,5360,LowDelay,2795103,116803,7.52632,3.09275,0,0,NoStalling,0,0,2302.63,27.7778,17.9472,2795103
5,5362,LowDelay,2704005,325578,6.78947,3.16359,0,0,NoStalling,0,0,2223.68,83.3333,21.4789,2704005
6,5362,LowDelay,2.80765e+06,91970.2,7.73684,3.31412,0,0,NoStalling,0,0,2302.63,27.7778,17.9472,2.80765e+06
7,5362,LowDelay,2.80023e+06,106385,7.52632,3.25849,0,0,NoStalling,0,0,2302.63,27.7778,17.9472,2.80023e+06
8,5363,LowDelay,2.77377e+06,245130,6.89474,3.13545,0,0,NoStalling,0,0,2297.37,55.5556,19.4788,2.77377e+06
9,5364,LowDelay,2.74805e+06,221156,7.15789,2.77703,0,0,NoStalling,0,0,2286.84,44.4444,18.1457,2.74805e+06
10,5365,LowDelay,2.74033e+06,241431,6.68421,2.80136,0,0,NoStalling,0,0,2281.58,111.111,19.6746,2.74033e+06
11,5365,LowDelay,2.76351e+06,259445,7,3.10348,0,0,NoStalling,0,0,2289.47,55.5556,19.5794,2.76351e+06
