ClientNode,ServerNode,StartsAt,StopsAt,VideoId,LinkCapacity,ScreenWidth,ScreenHeight
2,0,2,80,0,3337,800,480
3,0,2,80,0,3337,1024,600
4,0,2,80,0,3337,1240,720
5,0,2,80,0,3337,800,480
6,0,2,80,0,3337,1240,720
7,0,2,80,0,3337,800,480
8,0,2,80,0,3337,1024,600
9,0,2,80,0,3337,1920,1080
10,0,2,80,0,3337,1240,720
11,0,2,80,0,3337,1240,720
12,0,2,80,0,3337,1024,600
13,0,2,80,0,3337,800,480
14,0,2,80,0,3337,1024,600
15,0,2,80,0,3337,800,480
16,0,2,80,0,3337,800,480
17,0,2,80,0,3337,1024,600
18,0,2,80,0,3337,1920,1080
19,0,2,80,0,3337,1024,600
20,0,2,80,0,3337,1920,1080
21,0,2,80,0,3337,1920,1080
