Node,StartUpDelay,AvgDownloadRate,StdDownloadRate,AvgBufferLevel,StdBufferLevel,StallEvents,RebufferingRatio,StallLabel,TotalStallingTime,AvgTimeStallingEvents,AvgVideoBitRate,AvgVideoQualityVariation,RSDVideoBitRate,AvgDownloadBitRate,Tinit,Frebuf,Trebuf,MOS
2,5358,2.59602e+06,205908,4.57895,1.88668,0,0,NoStalling,0,0,2276.32,27.7778,19.2133,2.59602e+06,3,1,1,3.1804
3,5359,2.63338e+06,68099.6,4.68421,1.73365,0,0,NoStalling,0,0,2310.53,27.7778,17.839,2.63338e+06,3,1,1,3.1804
4,5364,2.64967e+06,196094,4.36842,1.51173,0,0,NoStalling,0,0,2323.68,55.5556,18.1897,2.64967e+06,3,1,1,3.1804
5,5367,2.65187e+06,186829,4.36842,1.51173,0,0,NoStalling,0,0,2323.68,55.5556,18.1897,2.65187e+06,3,1,1,3.1804
6,5362,2.57825e+06,208858,4.15789,1.61451,0,0,NoStalling,0,0,2276.32,27.7778,19.2133,2.57825e+06,3,1,1,3.1804
7,5360,2.64008e+06,165261,4.68421,1.60763,0,0,NoStalling,0,0,2310.53,27.7778,17.839,2.64008e+06,3,1,1,3.1804
8,5365,2.59923e+06,65777.2,5.21053,1.55864,0,0,NoStalling,0,0,2276.32,27.7778,19.2133,2.59923e+06,3,1,1,3.1804
9,5369,2.60962e+06,32006,4.42105,1.46236,0,0,NoStalling,0,0,2302.63,27.7778,17.9472,2.60962e+06,3,1,1,3.1804
10,5362,2.59326e+06,79479.4,4.94737,1.57191,0,0,NoStalling,0,0,2276.32,44.4444,19.2133,2.59326e+06,3,1,1,3.1804
11,5370,2.60561e+06,51706.3,4.42105,1.46236,0,0,NoStalling,0,0,2302.63,27.7778,17.9472,2.60561e+06,3,1,1,3.1804
12,5362,2.59598e+06,77965.9,5.21053,1.55864,0,0,NoStalling,0,0,2276.32,27.7778,19.2133,2.59598e+06,3,1,1,3.1804
13,5369,2.60602e+06,43767.3,4.36842,1.51173,0,0,NoStalling,0,0,2302.63,27.7778,17.9472,2.60602e+06,3,1,1,3.1804
14,5363,2596212,72846.2,5.21053,1.55864,0,0,NoStalling,0,0,2276.32,27.7778,19.2133,2596212,3,1,1,3.1804
15,5370,2.5757e+06,177782,4.42105,1.46236,0,0,NoStalling,0,0,2276.32,27.7778,19.2133,2.5757e+06,3,1,1,3.1804
16,0,0,0,0,0,0,0,NoStalling,0,0,0,0,0,0,3,1,1,3.1804
17,5369,2.6036e+06,53599.7,4.36842,1.51173,0,0,NoStalling,0,0,2302.63,27.7778,17.9472,2.6036e+06,3,1,1,3.1804
18,5371,2.60042e+06,60559.6,5,1.50438,0,0,NoStalling,0,0,2284.21,27.7778,19.123,2.60042e+06,3,1,1,3.1804
19,5371,2598991,66458.5,5,1.50438,0,0,NoStalling,0,0,2284.21,27.7778,19.123,2598991,3,1,1,3.1804
20,5366,2.59952e+06,64903.3,5,1.50438,0,0,NoStalling,0,0,2284.21,27.7778,19.123,2.59952e+06,3,1,1,3.1804
21,5368,2.60569e+06,42933.1,4.42105,1.46236,0,0,NoStalling,0,0,2302.63,27.7778,17.9472,2.60569e+06,3,1,1,3.1804
