Time	Node	UserId	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
3.458	3	0	0	1	2425263	0	3457	
3.46	4	0	0	1	2490810	0	3459	
3.46	5	0	0	1	2425263	0	3459	
3.46	6	0	0	1	2425263	0	3459	
5.458	3	0	1	14	2630458	0	0	
5.46	4	0	1	14	2677124	0	0	
5.46	5	0	1	14	2720303	0	0	
5.46	6	0	1	14	1451746	0	0	
7.458	3	0	2	15	2835069	0	0	
7.46	4	0	2	15	2833201	0	0	
7.46	5	0	2	15	2836939	0	0	
7.46	6	0	2	14	2836004	0	0	
9.458	3	0	3	16	2903248	0	0	
9.46	4	0	3	16	2872706	0	0	
9.46	5	0	3	16	2901534	2	0	
9.46	6	0	3	15	2835069	0	0	
11.458	3	0	4	16	2748993	2	0	
11.46	4	0	4	16	2776949	2	0	
11.46	5	0	4	16	2748993	2	0	
11.46	6	0	4	16	2805479	2	0	
13.458	3	0	5	16	2871028	2	0	
13.46	4	0	5	16	2901534	2	0	
13.46	5	0	5	16	2839514	2	0	
13.46	6	0	5	16	2872706	2	0	
15.458	3	0	6	16	2745921	2	0	
15.46	4	0	6	16	2748993	2	0	
15.46	5	0	6	16	2871028	2	0	
15.46	6	0	6	16	2476171	2	0	
17.458	3	0	7	16	2837875	2	0	
17.46	4	0	7	16	2837875	2	0	
17.46	5	0	7	16	2775381	2	0	
17.46	6	0	7	16	2839514	2	0	
19.458	3	0	8	16	2871028	2	0	
19.46	4	0	8	16	2871028	2	0	
19.46	5	0	8	16	2901534	2	0	
19.46	6	0	8	16	2872706	2	0	
21.458	3	0	9	16	2776949	2	0	
21.46	4	0	9	16	2775381	2	0	
21.46	5	0	9	16	2748993	2	0	
21.46	6	0	9	16	2773815	2	0	
23.458	3	0	10	16	2901534	4	0	
23.46	4	0	10	16	2901534	4	0	
23.46	5	0	10	16	2839514	4	0	
23.46	6	0	10	16	2904964	2	0	
25.458	3	0	11	16	2748993	4	0	
25.46	4	0	11	16	2750531	4	0	
25.46	5	0	11	16	2871028	4	0	
25.46	6	0	11	16	2747456	2	0	
27.458	3	0	12	16	2841156	4	0	
27.46	4	0	12	16	2841156	4	0	
27.46	5	0	12	16	2776949	4	0	
27.46	6	0	12	16	2841156	4	0	
29.458	3	0	13	16	2871028	4	0	
29.46	4	0	13	16	2871028	4	0	
29.46	5	0	13	16	2901534	4	0	
29.46	6	0	13	16	2871028	4	0	
31.458	3	0	14	16	2776949	4	0	
31.46	4	0	14	16	2775381	4	0	
31.46	5	0	14	16	2748993	4	0	
31.46	6	0	14	16	2773815	4	0	
33.458	3	0	15	16	2901534	4	0	
33.46	4	0	15	16	2901534	4	0	
33.46	5	0	15	16	2841156	4	0	
33.46	6	0	15	16	2904964	4	0	
35.458	3	0	16	16	2748993	4	0	
35.46	4	0	16	16	2750531	4	0	
35.46	5	0	16	16	2871028	4	0	
35.46	6	0	16	16	2747456	4	0	
37.458	3	0	17	16	2841156	6	0	
37.46	4	0	17	16	2841156	6	0	
37.46	5	0	17	16	2776949	6	0	
37.46	6	0	17	16	2841156	4	0	
39.458	3	0	18	16	2871028	6	0	
39.46	4	0	18	16	2871028	6	0	
39.46	5	0	18	16	2901534	6	0	
39.46	6	0	18	16	2871028	6	0	
41.458	3	0	19	16	2776949	6	0	
41.46	4	0	19	16	2775381	6	0	
41.46	5	0	19	16	2748993	6	0	
41.46	6	0	19	16	2773815	6	0	
43.458	3	0	20	16	2901534	6	0	
43.46	4	0	20	16	2901534	6	0	
43.46	5	0	20	16	2841156	6	0	
43.46	6	0	20	16	2904964	6	0	
45.458	3	0	21	16	2748993	6	0	
45.46	4	0	21	16	2750531	6	0	
45.46	5	0	21	16	2871028	6	0	
45.46	6	0	21	16	2747456	6	0	
47.458	3	0	22	16	2841156	6	0	
47.46	4	0	22	16	2841156	6	0	
47.46	5	0	22	16	2773815	6	0	
47.46	6	0	22	16	2841156	6	0	
49.458	3	0	23	16	2871028	6	0	
49.46	4	0	23	16	2871028	6	0	
49.46	5	0	23	16	2904964	6	0	
49.46	6	0	23	16	2871028	6	0	
51.458	3	0	24	16	2776949	8	0	
51.46	4	0	24	16	2775381	8	0	
51.46	5	0	24	16	2747456	8	0	
51.46	6	0	24	16	2773815	6	0	
53.458	3	0	25	16	2901534	8	0	
53.46	4	0	25	16	2901534	8	0	
53.46	5	0	25	16	2841156	8	0	
53.46	6	0	25	16	2904964	8	0	
55.458	3	0	26	16	2748993	8	0	
55.46	4	0	26	16	2750531	8	0	
55.46	5	0	26	16	2871028	8	0	
55.46	6	0	26	16	2747456	8	0	
57.458	3	0	27	16	2841156	8	0	
57.46	4	0	27	16	2841156	8	0	
57.46	5	0	27	16	2773815	8	0	
57.46	6	0	27	16	2841156	8	0	
59.458	3	0	28	16	2871028	8	0	
59.46	4	0	28	16	2871028	8	0	
59.46	5	0	28	16	2904964	8	0	
59.46	6	0	28	16	2871028	8	0	
