Time	Node	UserId	SegmentNumber	SegmentRepID	SegmentExperiencedBitrate(bit/s)	BufferLevel(s)	StallingTime(msec)	SegmentDepIds
5.39789	4	0	0	1	886153	2	5397	
5.40179	6	0	0	1	894757	2	5401	
5.40569	10	0	0	1	903529	2	5405	
5.40974	5	0	0	1	912475	2	5409	
5.41369	2	0	0	1	921600	2	5413	
5.41762	11	0	0	1	930909	2	5417	
5.42176	3	0	0	1	940408	2	5421	
5.42982	9	0	0	1	990967	2	5429	
7.31669	7	0	0	1	212840	2	7316	
7.39789	4	0	1	10	966779	2	0	
7.40179	6	0	1	10	966779	2	0	
7.40569	10	0	1	10	967586	2	0	
7.40974	5	0	1	10	965973	2	0	
7.41369	2	0	1	10	965169	2	0	
7.41762	11	0	1	10	965973	2	0	
7.42176	3	0	1	10	971641	4	0	
7.42982	9	0	1	10	970015	4	0	
9.31669	7	0	1	3	319528	4	0	
9.39789	4	0	2	11	1074223	2	0	
9.40179	6	0	2	11	1071304	2	0	
9.40569	10	0	2	11	591951	2	0	
9.40974	5	0	2	11	1057652	2	0	
9.41368	2	0	2	11	1065513	2	0	
9.41762	11	0	2	11	603736	2	0	
9.42176	3	0	2	11	1045729	4	0	
9.42982	9	0	2	11	1039525	4	0	
11.3167	7	0	2	6	554164	4	0	
11.3979	4	0	3	12	849656	2	0	
11.4018	6	0	3	12	850734	2	0	
11.4057	10	0	3	10	589907	2	0	
11.4097	5	0	3	11	871730	2	0	
11.4137	2	0	3	12	885963	2	0	
11.4176	11	0	3	10	597201	2	0	
11.4218	3	0	3	11	1405490	2	0	
11.4298	9	0	3	11	1414313	2	0	
13.3167	7	0	3	8	682666	4	0	
13.3979	4	0	4	11	1101998	2	0	
13.4018	6	0	4	11	892955	2	0	
13.4057	10	0	4	10	827386	4	0	
13.4097	5	0	4	11	613841	2	0	
13.4137	2	0	4	11	1036110	4	0	
13.4176	11	0	4	10	816315	2	0	
13.4218	3	0	4	13	1270077	2	0	
13.4298	9	0	4	13	1199414	2	0	
15.3167	7	0	4	10	862476	6	0	
15.3979	4	0	5	12	848938	2	0	
15.4018	6	0	5	11	768873	2	0	
15.4057	10	0	5	10	1124314	4	0	
15.4097	5	0	5	10	884861	2	0	
15.4137	2	0	5	12	1276911	4	0	
15.4176	11	0	5	10	573561	0	0	
15.4218	3	0	5	13	808421	4	0	
15.4298	9	0	5	13	783673	2	0	
17.3167	7	0	5	11	753444	4	0	
17.3979	4	0	6	11	1019366	4	0	
17.4018	6	0	6	11	749862	2	0	
17.4057	10	0	6	12	1271261	4	0	
17.4097	5	0	6	11	952270	2	0	
17.4137	2	0	6	12	1462644	4	0	
17.4176	11	0	6	10	277047	0	0	
17.4218	3	0	6	11	959221	4	0	
17.4298	9	0	6	11	630784	0	0	
19.3167	7	0	6	10	841806	6	0	
19.3979	4	0	7	12	1264070	4	0	
19.4018	6	0	7	11	648687	0	0	
19.4057	10	0	7	12	1317913	4	0	
19.4097	5	0	7	11	791646	2	0	
19.4137	2	0	7	13	1084554	4	0	
19.4176	11	0	7	8	492165	0	0	
19.4218	3	0	7	11	1149387	4	0	
19.4298	9	0	7	10	414580	0	0	
21.3167	7	0	7	11	899577	6	0	
21.3979	4	0	8	12	1303393	4	0	
21.4018	6	0	8	10	437752	2	0	
21.4057	10	0	8	13	1094699	4	0	
21.4097	5	0	8	11	836140	2	0	
21.4137	2	0	8	12	1231559	4	0	
21.4176	11	0	8	8	393267	0	0	
21.4218	3	0	8	12	1202832	4	0	
21.4298	9	0	8	9	550750	2	0	
23.3167	7	0	8	11	634336	6	0	
23.3979	4	0	9	13	1111533	2	0	
23.4018	6	0	9	9	758350	2	0	
23.4057	10	0	9	12	1453133	4	0	
23.4097	5	0	9	11	643919	4	0	
23.4137	2	0	9	13	1783454	2	0	
23.4176	11	0	9	8	336129	0	0	
23.4218	3	0	9	12	997092	4	0	
23.4298	9	0	9	9	658144	2	0	
25.3167	7	0	9	10	731798	6	0	
25.3979	4	0	10	12	1369983	2	0	
25.4018	6	0	10	10	968394	2	0	
25.4057	10	0	10	13	993772	4	0	
25.4097	5	0	10	10	658992	4	0	
25.4137	2	0	10	14	1183326	2	0	
25.4176	11	0	10	7	504000	2	0	
25.4218	3	0	10	12	1308481	4	0	
25.4298	9	0	10	10	569895	2	0	
27.3167	7	0	10	10	919245	6	0	
27.3979	4	0	11	13	723249	2	0	
27.4018	6	0	11	11	696229	2	0	
27.4057	10	0	11	12	1132396	4	0	
27.4097	5	0	11	10	847964	4	0	
27.4137	2	0	11	13	599560	2	0	
27.4176	11	0	11	8	711165	2	0	
27.4218	3	0	11	13	1477811	2	0	
27.4298	9	0	11	10	827977	4	0	
29.3167	7	0	11	11	1105862	6	0	
29.3979	4	0	12	11	785338	2	0	
29.4018	6	0	12	10	675899	4	0	
29.4057	10	0	12	12	1369983	2	0	
29.4097	5	0	12	11	1094351	4	0	
29.4137	2	0	12	11	847372	2	0	
29.4176	11	0	12	10	897188	4	0	
29.4218	3	0	12	13	1248146	0	0	
29.4298	9	0	12	10	1059568	4	0	
31.3167	7	0	12	12	1332760	6	0	
31.3979	4	0	13	11	610751	2	0	
31.4018	6	0	13	10	696615	4	0	
31.4057	10	0	13	13	1280000	4	0	
31.4097	5	0	13	12	1334529	4	0	
31.4137	2	0	13	11	1108194	4	0	
31.4176	11	0	13	11	1079370	2	0	
31.4218	3	0	13	13	374748	0	0	
31.4298	9	0	13	11	1185684	2	0	
33.3167	7	0	13	13	1037399	6	0	
33.3979	4	0	14	10	678669	2	0	
33.4018	6	0	14	10	739737	4	0	
33.4057	10	0	14	13	669281	4	0	
33.4097	5	0	14	13	1234974	6	0	
33.4137	2	0	14	12	1300023	2	0	
33.4176	11	0	14	11	1081591	2	0	
33.4218	3	0	14	10	869593	0	0	
33.4298	9	0	14	12	911253	4	0	
35.3167	7	0	14	12	1131759	4	0	
