Node,RequestDuration,TCPOutputPacket,TCPOutputDelay,TCPOutputJitter,TCPOutputPloss,TCPInputPacket,TCPInputDelay,TCPInputJitter
2,78,9997,9.57669,1.159,0.00010003,19290,95.4517,4.15408
3,78,7884,10.0252,1.25426,0.000126839,15205,94.4502,5.13655
4,78,7225,10.3878,1.34508,0.000138408,13779,93.322,5.64874
5,78,9030,9.771,1.22371,0.000110742,17426,95.1015,4.60279
6,78,7432,10.1516,1.3347,0.000134553,14221,93.9052,5.39367
7,78,7438,10.1632,1.27334,0.000134445,14358,95.12,5.56744
8,78,21,13.6017,1.00625,0.047619,34,19.2615,3.46992
9,78,7941,9.98967,1.29072,0.000125929,15272,94.5707,5.18191
10,78,8476,9.89369,1.27281,0.000943841,16299,94.2486,4.72087
11,78,7945,9.98825,1.26402,0.000125865,15268,94.8226,5.09283
