Node,StartUpDelay,AvgDownloadRate,StdDownloadRate,AvgBufferLevel,StdBufferLevel,StallEvents,RebufferingRatio,StallLabel,TotalStallingTime,AvgTimeStallingEvents,AvgVideoBitRate,AvgVideoQualityVariation,RSDVideoBitRate,AvgDownloadBitRate,Tinit,Frebuf,Trebuf,MOS
2,5472,604601,161553,3.63158,1.01102,0,0,NoStalling,0,0,521.842,62.8611,23.3311,604601,3,1,1,3.1804
3,5489,504352,226642,0.742857,1.07817,4,0.0717949,MildStalling,5600,0,430.657,105.152,42.1397,504352,3,2,3,2.2264
4,5476,686251,280827,3.84211,1.79951,0,0,NoStalling,0,0,575.579,101.722,42.0606,686251,3,1,1,3.1804
5,7087,346344,166544,1.25714,1.17942,4,0.0435897,MildStalling,3400,0,293.029,90.9697,48.0079,346344,3,2,3,2.2264
6,7089,383893,144087,2.10811,1.13385,0,0,NoStalling,0,0,321.108,66.9429,34.4414,383893,3,1,1,3.1804
7,5493,426909,157740,0.514286,0.874118,4,0.0717949,MildStalling,5600,0,373.086,88.0303,33.2584,426909,3,2,3,2.2264
8,7105,539785,250820,3.72973,1.32845,0,0,NoStalling,0,0,472.405,108.771,48.729,539785,3,1,1,3.1804
9,5485,631593,229144,2.57895,1.20594,0,0,NoStalling,0,0,526.237,90.5,36.3076,631593,3,1,1,3.1804
10,5445,507883,170071,2.31579,1.55775,0,0,NoStalling,0,0,426.553,53.5833,33.4219,507883,3,1,1,3.1804
11,0,0,0,0,0,0,0,NoStalling,0,0,0,0,0,0,3,1,1,3.1804
12,5436,575037,23181,1,1,0,0,NoStalling,0,0,183,0,100,575037,3,1,1,3.1804
13,5481,561801,269224,2.11429,1.50753,2,0.0307692,MildStalling,2400,0,482.171,106.818,43.3087,561801,3,2,3,2.2264
14,5455,545678,244797,2.81081,1.99781,3,0.0307692,MildStalling,2400,0,446.946,69.2571,44.8852,545678,3,2,3,2.2264
15,7107,518099,176706,2.21622,1.37811,0,0,NoStalling,0,0,443.973,116.714,34.5909,518099,3,1,1,3.1804
16,5530,471116,182069,2.37838,1.90804,1,0.00641026,MildStalling,500,0,381.243,95.6571,36.746,471116,3,1,3,2.9684
17,7109,562089,228873,2.10811,1.39078,0,0,NoStalling,0,0,487.189,97.5714,42.3717,562089,3,1,1,3.1804
18,5466,506481,196535,1.21053,0.977588,1,0.00128205,MildStalling,100,0,426.947,95.5833,38.4106,506481,3,1,3,2.9684
19,0,0,0,0,0,0,0,NoStalling,0,0,0,0,0,0,3,1,1,3.1804
20,7133,441480,208915,4.7027,1.2491,0,0,NoStalling,0,0,355.811,81.0882,46.7153,441480,3,1,1,3.1804
21,5505,479433,162118,1.47368,1.18626,1,0.0025641,MildStalling,200,0,406.395,81,35.6492,479433,3,1,3,2.9684
